mac_address	vlan_id	count_rec	vendor_name
50:3E:AA:6C:CD:4E	999	14	Tp-link Technologies Co.,ltd.
50:3E:AA:E7:88:E8	999	13	Tp-link Technologies Co.,ltd.
60:E3:27:1A:B3:55	999	12	Tp-link Technologies Co.,ltd.
50:3E:AA:AB:E2:0D	999	12	Tp-link Technologies Co.,ltd.
E8:DE:27:13:63:05	999	12	Tp-link Technologies Co.,ltd.
64:66:B3:FA:C4:F1	999	11	Tp-link Technologies Co.,ltd.
10:FE:ED:21:03:45	999	11	Tp-link Technologies Co.,ltd.
50:3E:AA:DC:14:68	999	11	Tp-link Technologies Co.,ltd.
00:0A:EB:22:07:EE	999	10	Tp-link Technologies Co.,ltd.
C0:25:E9:17:ED:6A	999	9	Tp-link Technologies Co.,ltd.
40:3F:8C:03:A5:3A	999	9	Tp-link Technologies Co.,ltd.
50:3E:AA:9E:3E:C8	999	9	Tp-link Technologies Co.,ltd.
D4:6E:0E:04:0A:C6	999	9	Tp-link Technologies Co.,ltd.
40:3F:8C:14:FB:87	999	9	Tp-link Technologies Co.,ltd.
14:CC:20:1F:44:82	999	8	Tp-link Technologies Co.,ltd.
C0:4A:00:15:51:41	999	7	Tp-link Technologies Co.,ltd.
C4:6E:1F:11:33:3B	999	7	Tp-link Technologies Co.,ltd.
C0:4A:00:24:90:47	999	7	Tp-link Technologies Co.,ltd.
10:FE:ED:23:0D:34	999	7	Tp-link Technologies Co.,ltd.
7C:8B:CA:14:BA:11	999	6	Tp-link Technologies Co.,ltd.
64:70:02:2D:33:77	999	6	Tp-link Technologies Co.,ltd.
B0:4E:26:0B:46:A8	999	6	Tp-link Technologies Co.,ltd.
F4:EC:38:8C:B1:70	999	6	Tp-link Technologies Co.,ltd.
F4:F2:6D:18:1F:3E	999	5	Tp-link Technologies Co.,ltd.
50:3E:AA:DC:18:14	999	5	Tp-link Technologies Co.,ltd.
B0:4E:26:0B:46:A7	999	5	Tp-link Technologies Co.,ltd.
50:3E:AA:37:CF:4C	999	5	Tp-link Technologies Co.,ltd.
30:B5:C2:E6:83:28	999	5	Tp-link Technologies Co.,ltd.
EC:08:6B:13:B7:98	999	5	Tp-link Technologies Co.,ltd.
50:3E:AA:81:C4:8E	999	5	Tp-link Technologies Co.,ltd.
C0:25:E9:13:52:3F	999	5	Tp-link Technologies Co.,ltd.
10:FE:ED:20:4C:D4	999	4	Tp-link Technologies Co.,ltd.
70:4F:57:E2:C1:41	999	4	Tp-link Technologies Co.,ltd.
50:3E:AA:70:4D:1C	999	4	Tp-link Technologies Co.,ltd.
F4:F2:6D:10:87:BB	999	4	Tp-link Technologies Co.,ltd.
E8:DE:27:A3:33:AE	999	4	Tp-link Technologies Co.,ltd.
10:FE:ED:20:2E:37	999	4	Tp-link Technologies Co.,ltd.
64:66:B3:6F:95:27	999	3	Tp-link Technologies Co.,ltd.
50:3E:AA:2B:AF:7B	999	3	Tp-link Technologies Co.,ltd.
E8:DE:27:19:D0:43	999	3	Tp-link Technologies Co.,ltd.
C4:6E:1F:1F:5C:70	999	3	Tp-link Technologies Co.,ltd.
50:3E:AA:68:2D:68	999	3	Tp-link Technologies Co.,ltd.
64:66:B3:1F:2E:80	999	3	Tp-link Technologies Co.,ltd.
B0:4E:26:0B:46:A9	999	3	Tp-link Technologies Co.,ltd.
C4:E9:84:DD:20:ED	999	2	Tp-link Technologies Co.,ltd.
18:A6:F7:17:10:C9	999	2	Tp-link Technologies Co.,ltd.
A0:F3:C1:0B:E4:B2	999	2	Tp-link Technologies Co.,ltd.
50:3E:AA:48:05:8D	999	2	Tp-link Technologies Co.,ltd.
18:A6:F7:16:DF:7C	999	2	Tp-link Technologies Co.,ltd.
50:3E:AA:AE:C5:59	999	2	Tp-link Technologies Co.,ltd.
F8:1A:67:08:40:4C	999	2	Tp-link Technologies Co.,ltd.
10:FE:ED:3F:73:13	999	2	Tp-link Technologies Co.,ltd.
60:E3:27:1B:18:FE	999	2	Tp-link Technologies Co.,ltd.
